API,Operator,Well_Name,Max_MD,year,NUMPOINTS,intensity
7306312,NIGHTHAWK PRODUCTION LLC,Jolly Ranch,8296,2008,1,0.013
4515495,HUNTER RIDGE ENERGY SERVICES LLC,SGU,9253,2008,10,0.127
7106741,PIONEER NATURAL RESOURCES USA INC,WILD BOAR,4376,1999,2,0.025
12508172,CAERUS WASHCO LLC,ALLISON WDW,3419,1999,1,0.013
12340968,NGL WATER SOLUTIONS DJ LLC,NGL,10963,2015,4,0.051
906489,MURFIN DRILLING COMPANY INC,S E CAMPO UNIT,4257,1991,3,0.038
906497,MURFIN DRILLING COMPANY INC,S E CAMPO UNIT/LANSING D,4250,1991,3,0.038
906498,INVESTMENT EQUIPMENT LLC,TSRU,4200,1991,3,0.038
1706375,PINTAIL PETROLEUM LTD,ALPINE KLIESEN,5650,1991,1,0.013
1706939,HALDE OIL INC,MITCHELL 41-35,5678,1997,1,0.013
1707112,P O & G OPERATING LLC,HARKER RANCH MORROW UNIT(HRMU),5350,1990,2,0.025
1707152,CITATION OIL & GAS CORP,WAMSLEY SWD,5799,1990,1,0.013
1707160,PRODUCTION MANAGEMENT INC,COE TRUST 12B-18,5525,2002,1,0.013
1707208,CITATION OIL & GAS CORP,BLEDSOE 13-31,6601,1991,2,0.025
1707232,CITATION OIL & GAS CORP,BLEDSOE,6970,1991,2,0.025
1707246,LOEB LLC* HERMAN L,COX V,5300,1991,1,0.013
1707258,MULL DRILLING COMPANY INC,SCHLUNTZ,5740,1991,2,0.025
1707380,CITATION OIL & GAS CORP,CHUNKY 12-28,5752,1998,2,0.025
1707405,CITATION OIL & GAS CORP,SPEAKER 44-13,6525,1993,3,0.038
1707464,RESOURCE DEVELOPMENT TECHNOLOGY LLC,HOFFMAN,5620,1995,1,0.013
4506273,URSA OPERATING COMPANY LLC,CSF,8560,2006,1,0.013
4506857,LARAMIE ENERGY LLC,CASCADE CREEK,7085,1994,1,0.013
6106600,CITATION OIL & GAS CORP,SCHNEIDER 34-1,5320,1991,2,0.025
6106670,CITATION OIL & GAS CORP,GARY 33-2,5894,1993,2,0.025
6306271,HRM RESOURCES II LLC,BEESON,5480,1995,1,0.013
6707500,FOUR STAR OIL & GAS COMPANY,SOUTHERN UTE (EPA),9286,1990,2,0.025
6707682,RED WILLOW PRODUCTION COMPANY,SOUTHERN UTE WDW 32-12(EPA),6550,1992,3,0.038
6707819,CHEVRON USA INC,VALENCIA CANYON WDW(EPA),5360,1991,3,0.038
6707831,CHEVRON MIDCONTINENT LP,CLARK WDW (EPA),5408,1992,2,0.025
6707898,BURLINGTON RESOURCES OIL & GAS LP,CINDER GULCH SWD (EPA),5890,1992,3,0.038
6707941,CHEVRON USA INC,VALENCIA CANYON (EPA),5365,1993,2,0.025
6708022,BP AMERICA PRODUCTION COMPANY,INJECTION WELL(EPA),4803,1996,1,0.013
6708027,BP AMERICA PRODUCTION COMPANY,INJECTION WELL(EPA),4810,1997,1,0.013
6906301,PROSPECT ENERGY LLC,MSSU,4900,1991,5,0.064
6906306,PROSPECT ENERGY LLC,MSSU,4958,1992,5,0.064
6906312,PROSPECT ENERGY LLC,MSSU,5160,1992,5,0.064
6906315,PROSPECT ENERGY LLC,MSSU,4950,1992,5,0.064
6906318,PROSPECT ENERGY LLC,MSSU,5002,1992,5,0.064
7106421,PIONEER NATURAL RESOURCES USA INC,PCW,4188,1997,2,0.025
7106706,PIONEER NATURAL RESOURCES USA INC,SAWTOOTH,4620,1999,1,0.013
7306259,ABILENE PERFECT ENERGY JV LLC,Smoker,7496,2005,1,0.013
7506091,WESTERN OPERATING COMPANY,YENTER,5319,2002,3,0.038
7509279,INVESTMENT EQUIPMENT LLC,COLORADO,4650,1993,1,0.013
8106889,HILCORP ENERGY COMPANY,HIAWATHA,5056,1996,1,0.013
8106896,ANTLER ENERGY LLC,SAND HILLS FEDERAL,3527,1998,1,0.013
8306575,QEP ENERGY COMPANY,ISLAND BUTTE II,6785,1996,1,0.013
8707760,WESTERN OPERATING COMPANY,MESSENGER,5747,2003,3,0.038
8708062,YOUNG GAS STORAGE COMPANY LTD,YOUNG,6018,1994,1,0.013
8708102,BLACK RAVEN ENERGY INC,ADENA J SAND UNIT,5740,1999,3,0.038
10301056,CHEVRON USA INC,MELLEN W P,7093,2004,14,0.178
10301072,CHEVRON USA INC,F A LARSON,6899,2001,15,0.191
10301078,CHEVRON USA INC,FAIRFIELD KITTI B,6955,2007,11,0.14
10305813,CHEVRON USA INC,GUIBERSON,6563,2004,11,0.14
10306111,CHEVRON USA INC,FAIRFIELD*KITTY,6469,2004,11,0.14
10306119,CHEVRON USA INC,FEE,6690,2007,10,0.127
10306124,CHEVRON USA INC,GRAY,0,2003,20,0.255
10306131,CHEVRON USA INC,GRAY B,7200,2007,14,0.178
10306319,CHEVRON USA INC,A. C. MCLAUGHLIN,6717,2007,19,0.242
10306325,CHEVRON USA INC,HAGOOD M C,6730,2001,15,0.191
10306326,CHEVRON USA INC,HAGOOD M C,6743,2001,15,0.191
10306330,CHEVRON USA INC,HAGOOD M C,6673,2002,16,0.204
